Qatar-10          	0.736	1.543	0.187	1955
TOI-150           	1.72	1.38	0.62	1422
TOI-172           	5.41	0.965	5.66	1198
TOI-216b          	0.082	0.73	0.18	630
TOI-216c          	0.59	1.005	0.54	497
TRAPPIST-1b       	0.0032	0.1	3.99	391.8
TRAPPIST-1c       	0.0036	0.0977	4.85	334.8
TRAPPIST-1d       	0.0009	0.0699	3.38	282.1
TRAPPIST-1e       	0.0024	0.0812	5.63	246.1
TRAPPIST-1f       	0.0029	0.0933	4.48	214.5
TRAPPIST-1g       	0.0036	0.1024	4.17	194.5
TRAPPIST-1h       	0.001	0.069	3.95	169.2
TrES-1            	0.761	1.099	0.57	1147
TrES-2            	1.206	1.193	0.665	1466
TrES-3            	1.899	1.31	0.79	1638
TrES-4            	0.494	1.838	0.075	1795
TrES-5            	1.79	1.194	0.983	1480
WASP-001          	0.854	1.483	0.262	1830
WASP-002          	0.88	1.063	0.685	1286
WASP-003          	1.77	1.346	0.73	2020
WASP-004          	1.249	1.364	0.46	1673
WASP-005          	1.595	1.175	0.92	1753
WASP-006          	0.485	1.23	0.244	1184
WASP-007          	0.98	1.374	0.353	1530
WASP-010          	3.14	1.039	2.81	972
WASP-011          	0.492	0.99	0.475	992
WASP-012          	1.47	1.9	0.201	2580
WASP-013          	0.512	1.528	0.134	1531
WASP-014          	7.59	1.24	3.73	1872
WASP-015          	0.592	1.408	0.198	1676
WASP-016          	0.832	1.218	0.431	1389
WASP-017          	0.477	1.932	0.0618	1755
WASP-018          	10.52	1.204	5.64	2411
WASP-019          	1.139	1.41	0.38	2077
WASP-020          	0.378	1.28	0.17	1282
WASP-021          	0.276	1.162	0.165	1333
WASP-022          	0.617	1.199	0.334	1502
WASP-023          	0.917	1.067	0.691	1152
WASP-024          	1.109	1.303	0.469	1772
WASP-025          	0.598	1.247	0.288	1210
WASP-026          	1.02	1.216	0.53	1650
WASP-028          	0.889	1.219	0.491	1456
WASP-029          	0.244	0.776	0.53	970
WASP-030          	62.5	0.951	86.8	1474
WASP-031          	0.478	1.549	0.129	1575
WASP-032          	3.6	1.18	2.2	1560
WASP-033          	2.16	1.679	0.48	2710
WASP-034          	0.59	1.22	0.34	1250
WASP-035          	0.72	1.32	0.32	1450
WASP-036          	2.361	1.327	0.945	1733
WASP-037          	1.8	1.16	1.15	1323
WASP-038          	2.691	1.094	2.06	1292
WASP-039          	0.281	1.279	0.126	1166
WASP-041          	0.977	1.178	0.558	1242
WASP-042          	0.527	1.122	0.349	1021
WASP-043          	2.034	1.036	1.826	1440
WASP-044          	0.869	1.002	0.808	1304
WASP-045          	1.002	0.992	0.959	1170
WASP-046          	1.91	1.174	1.103	1636
WASP-047b         	1.142	1.123	0.749	1220
WASP-048          	0.907	1.396	0.312	1956
WASP-049          	0.396	1.198	0.229	1399
WASP-050          	1.437	1.138	0.911	1410
WASP-052          	0.434	1.253	0.206	1315
WASP-053          	2.132	1.074	1.72	1053
WASP-054          	0.636	1.653	0.141	1759
WASP-055          	0.627	1.335	0.247	1300
WASP-056          	0.571	1.092	0.438	1216
WASP-057          	0.644	1.05	0.521	1338
WASP-058          	0.89	1.37	0.34	1270
WASP-059          	0.863	0.775	1.8	670
WASP-060          	0.56	1.225	0.285	1479
WASP-061          	2.06	1.22	1.17	1624
WASP-062          	0.57	1.39	0.21	1440
WASP-063          	0.38	1.43	0.13	1540
WASP-064          	1.271	1.271	0.619	1689
WASP-065          	1.55	1.112	1.13	1480
WASP-066          	2.32	1.39	0.86	1790
WASP-067          	0.406	1.091	0.292	1003
WASP-068          	0.95	1.24	0.5	1490
WASP-069          	0.26	1.057	0.219	963
WASP-070          	0.59	1.164	0.375	1387
WASP-071          	2.242	1.46	0.71	2049
WASP-072          	1.461	1.27	0.72	2210
WASP-073          	1.88	1.16	1.2	1790
WASP-074          	0.826	1.404	0.279	1926
WASP-075          	1.08	1.31	0.48	1688
WASP-078          	0.86	2.06	0.099	2470
WASP-079          	0.86	1.53	0.24	1716
WASP-080          	0.562	0.986	0.549	825
WASP-081          	0.729	1.429	0.25	1623
WASP-082          	1.248	1.712	0.249	2202
WASP-083          	0.3	1.04	0.26	1120
WASP-084          	0.687	0.976	0.741	833
WASP-085          	1.265	1.24	0.66	1452
WASP-086          	0.821	0.632	3.24	1415
WASP-087          	2.18	1.385	0.823	2322
WASP-088          	0.56	1.7	0.11	1772
WASP-089          	5.9	1.04	5.27	1120
WASP-090          	0.63	1.63	0.145	1840
WASP-091          	1.34	1.03	1.2	1160
WASP-092          	0.805	1.461	0.26	1871
WASP-093          	1.47	1.597	0.36	1942
WASP-094          	0.452	1.72	0.089	1604
WASP-095          	1.13	1.21	0.85	1570
WASP-096          	0.48	1.2	0.28	1285
WASP-097          	1.32	1.13	0.91	1555
WASP-098          	0.922	1.144	0.576	1171
WASP-099          	2.78	1.1	2.1	1480
WASP-100          	2.03	1.69	0.4	2190
WASP-101          	0.5	1.41	0.18	1560
WASP-102          	0.624	1.259	0.311	1705
WASP-103          	1.47	1.646	0.309	2489
WASP-104          	1.311	1.106	0.969	1507
WASP-105          	1.8	0.96	2	900
WASP-106          	1.925	1.085	1.5	1140
WASP-107          	0.119	0.924	0.152	736
WASP-108          	0.892	1.284	0.422	1590
WASP-109          	0.91	1.443	0.303	1685
WASP-110          	0.51	1.238	0.268	1134
WASP-111          	1.83	1.443	0.61	2140
WASP-112          	0.88	1.191	0.521	1395
